Hostname,Customer,Model,S/N,Tag,Type,Location,Buy date,status,substatus,Warranty,Cost
SITLBNM6FG3,Stock,Dell Latitude 5320,BNM6FG3,12346,Laptop,AMS,01/11/2021,1,1,27/10/2026,3500.05
SITLCNM6FG3,Stock,Dell Latitude 5320,CNM6FG3,12345,Laptop,UK,01/11/2021,1,1,27/10/2026,68942.35
SITM3G95BF3,Stock,DELL-P2219HE,3G95BF3,12347,Monitor,AMS,01/11/2021,1,1,27/10/2024,621.12
SITMG675BF3,Stock,DELL-P2219HE,G675BF3,12348,Monitor,AMS,01/11/2021,1,1,27/10/2024,0
SITMJQ85BF3,Stock,DELL-P2219HE,JQ85BF3,12349,Monitor,UK,01/11/2021,1,1,27/10/2024,0
SITM5185BF3,Stock,DELL-P2219HE,5185BF3,,Monitor,UK,01/11/2021,1,1,27/10/2024,0
SITM1R65BF3,Stock,DELL-P2219HE,1R65BF3,,Monitor,UK,01/11/2021,1,1,27/10/2024,0
SITM1NY9PF3,Stock,DELL-P2419HE,1NY9PF3,,Monitor,AMS,01/11/2021,1,1,27/10/2024,0
SITMHNY9PF3,Stock,DELL-P2419HE,HNY9PF3,,Monitor,MIA,01/11/2021,1,1,27/10/2024,0
SITM49Y9PF3,Stock,DELL-P2419HE,49Y9PF3,,Monitor,MIA,01/11/2021,1,1,27/10/2024,0
SITMFZX9PF3,Stock,DELL-P2419HE,FZX9PF3,,Monitor,MIA,01/11/2021,1,1,27/10/2024,0
SITMG1X9PF3,Stock,DELL-P2419HE,G1X9PF3,,Monitor,MIA,01/11/2021,1,1,27/10/2024,0
SITM75Y9PF3,Stock,DELL-P2419HE,75Y9PF3,,Monitor,MIA,01/11/2021,1,1,27/10/2024,0
SITMDMX9PF3,Stock,DELL-P2419HE,DMX9PF3,,Monitor,MIA,01/11/2021,1,1,27/10/2024,0
SITM12X9PF3,Stock,DELL-P2419HE,12X9PF3,,Monitor,MIA,01/11/2021,1,1,27/10/2024,0
SITMH9X9PF3,Stock,DELL-P2419HE,H9X9PF3,,Monitor,MIA,01/11/2021,1,1,27/10/2024,0
SITM11X9PF3,Stock,DELL-P2419HE,11X9PF3,,Monitor,MIA,01/11/2021,1,1,27/10/2024,0
SITMHMY9PF3,Stock,DELL-P2419HE,HMY9PF3,,Monitor,LUX,01/11/2021,1,1,27/10/2024,0
SITMF5X9PF3,Stock,DELL-P2419HE,F5X9PF3,,Monitor,LUX,01/11/2021,1,1,27/10/2024,0
SITM9BX9PF3,Stock,DELL-P2419HE,9BX9PF3,,Monitor,LUX,01/11/2021,1,1,27/10/2024,0
SITS8FGZ8F3,Stock,Dell Dock WD19S 180W,8FGZ8F3,,Dock Station,AMS,01/11/2021,1,1,27/10/2025,0
SITS5G63QH3,Stock,Dell Dock WD19S 180W,5G63QH3,,Dock Station,AMS,01/11/2021,1,1,27/10/2025,0
SITS77CLCD3,Stock,Dell Dock WD19S 180W,77CLCD3,,Dock Station,AMS,01/11/2021,1,1,27/10/2025,0
SITSH7CLCD3,Stock,Dell Dock WD19S 180W,H7CLCD3,,Dock Station,AMS,01/11/2021,1,1,27/10/2025,0
SITS2L9JCD3,Stock,Dell Dock WD19S 180W,2L9JCD3,,Dock Station,MIA,01/11/2021,1,1,27/10/2025,0
SITS4M03QH3,Stock,Dell Dock WD19S 180W,4M03QH3,,Dock Station,MIA,01/11/2021,1,1,27/10/2025,0
SITS4CCLCD3,Stock,Dell Dock WD19S 180W,4CCLCD3,,Dock Station,MIA,01/11/2021,1,1,27/10/2025,0
SITS7N9JCD3,Stock,Dell Dock WD19S 180W,7N9JCD3,,Dock Station,MIA,01/11/2021,1,1,27/10/2025,0
SITS5Q9JCD3,Stock,Dell Dock WD19S 180W,5Q9JCD3,,Dock Station,UK,01/11/2021,1,1,27/10/2025,0
SITS2K9JCD3,Stock,Dell Dock WD19S 180W,2K9JCD3,,Dock Station,UK,01/11/2021,1,1,27/10/2025,0
SITSFQ9JCD3,Stock,Dell Dock WD19S 180W,FQ9JCD3,,Dock Station,UK,01/11/2021,1,1,27/10/2025,0
